no,username,nickname,komentar,likes,create_time,sentiment_label,label_notes,confidence,needs_review
1,user027638264,bl1tzzz,ini mah bukan mengurangi korban tapi mengganti korban,37084,1777364573,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
2,kelincibesiii_,IzaLVM_,kami setuju klo gerbong paling belakang dan paling depan khusus menteri dan pejabat.,15041,1777377222,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
3,adesaputra7222,ade,bukanya kasih solusi malah ganti formasi,1,1778463698,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
4,agungpradana463,𝙋𝙃𝙖𝙣𝙟𝙪𝙇𝙇🚀,hanya merubah dari almarhumah jdi almarhum,8849,1777426256,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
5,rikiriv,@ikky,"Sekelas menteri jawabnya asbun bgt 😭😭🤣, gelisah bgt gua dengernya 😭",17995,1777357308,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
6,sampaipaham_,Sampai Paham,sepakat buuu,5015,1777382399,Positif,"Dukungan, persetujuan, atau afirmasi literal",0.76,Tidak
7,yurzkaaja,yurzkaaja,Kalo lg kesel sama suami nya jangan begini dong bu,3708,1777397347,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
8,dodoanggoroo,dodoanggoroo | ANGGORO GROUP,"kita emang paling suka di jepit,tapi bukan dijepit kereta juga 😭",1131,1777431262,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
9,pasta_addict,Pasta_Addict,"gerbong depan dan belakang khusus SUPERMAN, HULK, CAPT AMERICA, IRON MAN",3070,1777365628,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
10,aparabener,bven,"ini usul dari saya ya buk, gimana kalo rute kereta di ubah aja kearah rumah ibu",943,1777429005,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
11,who2444444,user24,Lu pikir gua spiderman yg bisa nahan kereta,4941,1777376824,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
12,beautifood_,Utie | 𝐛𝐞𝐚𝐮𝐭𝐲 & 𝐟𝐨𝐨𝐝,kalo splenger ini gua juga bisa jadi menteri😭😭,1617,1777428128,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
13,algatemon,Alga Temon🛀,misal ada meteor jatuh kena gerbong tengah trus gimana lagi solusinya bu?,503,1777397213,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
14,aryant0_0,Sdr. Aryanto,"yang penting bunyi dulu aja, mikir belakangan.",4662,1777355424,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
15,arkatama993,Anang_y93,"kenapa gak kasih 1 gerbong kosong aja yg belakang itung2 buat bemper, kyk kereta petikemas biasanya yg belakang gerbong kosong",1838,1777359238,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
16,mastaaaaaaaaaaaaaaa,masta,"musibah karna signal yang eror
Mentri : oke kita perbaiki posisi gerbong perempuan.
GUA BARU TAU KALO POSISI GERBONG MEMPENGARUHI SIGNAL JALUR KERETA 😭",1639,1777358500,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
17,liamonadie,Liliiiliyaaa 🪩,"sabar yaa para pria,aku juga shock dengernya😭",3771,1777385961,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
18,hayang571,WALID,[Sticker] tidak fantas jadi mentri,445,1777364354,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
19,desta_tea18,𝕯𝖊𝖘𝖙𝖆18✔,kami laki-laki juga ingin berumur panjang buk😭,803,1777391472,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
20,radityaaaaaarrr,Radittt,"saya duduk di stasiun aja buk, barang” saya aja yang naik kereta",1574,1777380625,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
21,balcomm,KIRLTZNS,[Sticker] gw yg sebagai cwoo,819,1777377626,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
22,gausahdiliaaaat,faturahman,sekelas menteri pemikirannya seperti itu serius?,346,1777383461,Negatif,"Kritik, penolakan, keluhan, atau sarkasme terhadap isi pernyataan/solusi",0.82,Tidak
